"","Vacc_scenario","Year","sample","Age <1","Age 1-5","Age 6-14","Age 15-19","Age 20-49","Age 50+"
"3188",53,"2011","85945",54488.2131377832,279381.566830936,578223.797448676,489903.289793884,1375997.4895502,394753.988039186
"3189",53,"2011","88719",365522.404515345,1912823.09338338,4440281.0357978,2105715.14945087,6014733.19136432,1471180.59348547
"3190",53,"2011","88723",417237.51447383,2148505.39549711,4953811.48601624,2522812.03347833,7388984.26689382,2129337.08151583
"3191",53,"2011","89834",91100.2362186616,465116.008133148,1015402.50225439,717069.012799937,2002700.9797497,506568.00087197
"3192",53,"2011","90462",285651.088210959,1451606.56285351,3318602.72329495,1986516.15481476,5735484.14239249,1416594.71459265
"3193",53,"2011","90853",345807.641503681,1760800.20241117,4037900.74466117,2132369.19029235,6188097.55518114,1514463.6295228
"3194",53,"2011","93021",452337.647443432,2367938.89649948,5476194.0390042,2364581.61012837,6886499.35536285,1761156.93715887
"3195",53,"2011","93187",301017.511312033,1549153.00109236,3583648.65575308,1871089.591194,5246064.96381214,866738.440585881
"3196",53,"2011","93833",597170.577107998,3055218.263482,7044095.91420958,3491474.67865732,10319570.2655459,1820820.49135427
"3197",53,"2011","9736",98490.4164476561,475068.753706286,1027165.74620871,1112548.18615535,3144597.94594883,690189.995546838
"3198",53,"2011","97383",112012.674972195,595305.0097022,1353128.94458372,684155.481106662,1855437.71093199,388929.768101734
"3199",53,"2011","98203",384060.742407272,1997313.98286583,4643420.5807751,2421633.04240004,6841156.30661171,893672.343138702
"3200",53,"2011","99651",462879.692812302,2391202.83033863,5514963.62583863,2657589.79741599,7816502.56705059,2365787.04714349
"3201",53,"2012","10336",540757.219975662,2892268.0298663,6289177.23729069,2020508.96297345,5899739.88371495,2438988.09672266
"3202",53,"2012","12234",642040.705014187,3466869.26447328,7494931.47003174,2396228.3045935,7056438.1757812,2865817.12415851
"3203",53,"2012","12816",489438.093245917,2465116.73475027,5427737.9078877,1023294.26362121,2928860.4352812,1726982.44070658
"3204",53,"2012","12839",251845.038275533,1202291.77831929,2646709.12408766,591782.72149962,1624432.34411053,564978.489999531
"3205",53,"2012","13978",406182.444758385,1847833.75755528,4030658.73530695,1162068.98089689,3371465.53846107,1754494.6952308
"3206",53,"2012","1412",456982.746104846,2174890.30226188,4687476.09187948,2351476.04730519,6900785.05148423,2011544.99005255
"3207",53,"2012","14418",498410.799171906,2630607.64931425,5774459.26505785,1374573.52625252,3985202.13507725,2344817.24033413
"3208",53,"2012","14849",258354.705967579,1251338.06060467,2762014.66071817,395784.096143227,1127178.44914311,1001617.37845854
"3209",53,"2012","15046",353616.255040495,1593962.03433228,3394736.51355837,1848944.15383838,5531664.79817313,2437173.75490979
"3210",53,"2012","16747",20770.3528914695,120219.843665963,210807.3720519,79945.0568828726,222765.144770137,95469.4566226694
"3211",53,"2012","18031",28492.980934736,164881.53577052,315807.695930284,68448.1745429514,185574.327369947,95681.1834043376
"3212",53,"2012","18178",706591.103504509,3867478.30443338,8332523.26915712,2129666.62051942,6324055.98936152,3759458.69472724
"3213",53,"2012","184",595797.418613848,3145006.20675214,6853234.29674724,2558852.86150932,7251168.495245,879465.279761623
"3214",53,"2012","18445",403109.294335454,1728908.46178661,3736111.1594971,1563175.77358952,4484627.47428769,1360402.38251024
"3215",53,"2012","18956",323452.897389624,1472017.95346823,3223548.10828456,808568.818583859,2267769.24857193,887692.372050366
"3216",53,"2012","19650",424128.025725756,2038230.55005755,4481511.67659681,923134.782890764,2653997.38063932,1629944.15085049
"3217",53,"2012","20140",435524.696633651,1929859.34879373,4201253.43325917,928951.755157315,2722824.89489754,1837204.90217895
"3218",53,"2012","20381",447548.576135201,2439048.71630834,5466927.36336402,360021.268292615,990848.53337519,969191.86694566
"3219",53,"2012","21347",252112.50501589,1114542.65594155,2427768.56361511,860350.228033456,2312139.86033001,288271.364461058
"3220",53,"2012","26626",222331.566211884,1023362.7600281,2236997.86361475,567880.247883718,1578707.46141816,597709.905296567
"3221",53,"2012","27986",304297.151524411,1269201.33353684,2664687.42925478,1688276.74964964,5099806.38067606,2465400.37726533
"3222",53,"2012","28715",351245.571960049,1553897.35898608,3330491.98145398,1834270.68266567,5326407.81116626,1592570.5445865
"3223",53,"2012","28884",646045.791528278,3477811.94584694,7517210.84170541,2468360.53308564,7321790.3121911,3369593.64029139
"3224",53,"2012","31423",415704.542138802,1824284.5421421,3929115.08616399,1982352.27406538,5783547.54024024,1944098.67609268
"3225",53,"2012","3183",370051.957105144,1824780.34292998,4065844.25651369,592756.158735969,1652793.21699913,987178.40078803
"3226",53,"2012","33141",121696.882443165,610172.27405311,1324855.63002459,226365.845007347,633024.024339423,442802.058059907
"3227",53,"2012","34172",383751.624146683,1584957.80462783,3416977.54994782,1394028.02933969,3915869.33041331,887047.377796109
"3228",53,"2012","36307",519526.957002964,2642542.41253911,5756600.65020473,1803096.71686204,5245741.54446348,2202179.21614084
"3229",53,"2012","36565",507702.478845428,2730740.57990891,6026653.94922098,1215869.87387875,3411436.56252365,1475213.88242885
"3230",53,"2012","36737",358591.142592724,1637744.64189965,3586751.37741511,946104.553804954,2685454.97187393,1136032.97686577
"3231",53,"2012","36892",399160.933006802,1953699.79148674,4325723.17884682,748072.940903784,2087444.8602793,994481.399116309
"3232",53,"2012","37080",280374.532997848,1427595.20711182,3195165.96744009,293175.807878507,794338.857283305,527536.526372876
"3233",53,"2012","37398",488544.196432146,2262278.69683613,4948680.5475785,1428570.37371814,4079245.99609282,1456528.64886785
"3234",53,"2012","38080",669798.271730486,3638340.84326484,7870891.72431883,2377668.26902371,6983178.21753844,2957375.11210346
"3235",53,"2012","38399",587796.159429162,3235750.90328524,7043761.04584205,1835481.73373689,5326315.12675348,2560656.56483678
"3236",53,"2012","38870",570388.426156206,3153753.39841688,6905885.9847881,1682500.22300811,4767327.24211557,1796957.40271783
"3237",53,"2012","39204",325452.210114933,1534593.28931978,3370886.57842302,747629.692345992,2106326.49439294,988826.320182035
"3238",53,"2012","40145",270262.991893725,1055610.74406533,2219168.38054209,1691592.93673589,4799836.77843197,910024.461548298
"3239",53,"2012","41477",500647.425474996,2397588.18647443,5213923.87310019,2203445.47129583,6298145.30813064,1276215.66237192
"3240",53,"2012","421",582494.930315178,3148184.08072671,6859918.40827433,2087205.34702624,5983625.59651892,1857082.80243136
"3241",53,"2012","42552",419938.645491018,2166055.6847878,4785257.09288533,727879.228817128,2096736.58934043,1737146.59782507
"3242",53,"2012","42933",432961.197152798,2553389.0987732,5722581.93974444,522693.64897051,1416484.0354716,1020498.74017039
"3243",53,"2012","45288",134713.589293501,575404.633782143,1207805.2559407,654465.061509866,1839384.09513152,539500.35792249
"3244",53,"2012","45942",364695.068461788,1591076.39196696,3439122.98729863,1555553.9892707,4422564.8174629,1130017.42141591
"3245",53,"2012","46802",359771.532859459,1626459.22874171,3535895.64360709,1193056.71220121,3408772.41685168,1250399.12705716
"3246",53,"2012","47224",381508.641261285,1806998.00906602,3982410.52707322,777436.945490443,2184668.52898282,1043134.81240741
"3247",53,"2012","47367",385122.556564446,1940682.81250338,4282464.62660733,699288.013900712,2015615.7541567,1583653.25914036
"3248",53,"2012","5011",508191.44420551,2564486.9480128,5525033.15997011,3134400.58273923,9322653.31968861,2153909.46602474
"3249",53,"2012","506",640645.690148337,3416345.77026453,7403186.35776349,2529036.57945602,7464307.33877156,3083560.18935903
"3250",53,"2012","51542",612682.08682078,3281211.34707499,7099702.31587024,2455071.11832435,7242045.34296526,3013709.57779345
"3251",53,"2012","53893",485900.752171394,2372558.11831897,5238458.3676385,1344096.35816544,3746164.23898258,1040312.26961248
"3252",53,"2012","5449",136146.497578628,572568.68363547,1192583.6738606,745903.446417858,2073814.75058885,439372.312127064
"3253",53,"2012","54520",134960.430318172,740195.285915237,1666112.49256906,160824.838775508,423625.087620856,131019.605481286
"3254",53,"2012","55004",363402.711216373,1678056.49474517,3678279.48502638,967001.198940351,2726191.64914228,1029082.43742823
"3255",53,"2012","55351",356246.330767675,1963564.93834271,4423274.46318719,317347.753133559,853988.791540885,639968.746443394
"3256",53,"2012","56066",494549.180523987,2250733.37102433,4905800.48036869,956698.973239253,2848189.68957365,2377376.89135886
"3257",53,"2012","56127",246688.525755801,1162963.33784266,2551510.10711195,515322.170532858,1459646.05067667,875498.926228855
"3258",53,"2012","57658",499433.843072578,2594102.53075745,5696537.29665426,1577030.62119558,4513971.31264768,1909448.37352201
"3259",53,"2012","62621",694739.44026189,3727514.14767531,8057802.60925973,2921415.6689095,8525636.09046602,2088726.40305701
"3260",53,"2012","6379",264116.357198445,1199694.3920487,2584504.13185638,429031.204691605,1315968.84096913,1859749.26309728
"3261",53,"2012","6472",346005.351255565,1557686.9811551,3324645.20756648,1540927.12087988,4636859.03693442,2475724.59148512
"3262",53,"2012","65392",392233.558012912,1901538.51897351,4211692.73730301,883911.914133525,2467131.45671252,1051993.17042684
"3263",53,"2012","65565",254516.086749769,1101173.89625158,2366017.9059434,893513.619560404,2555512.24892662,1027365.65218727
"3264",53,"2012","68935",487939.127779,2566305.89188366,5650051.99951499,843602.411571677,2460375.28469414,2319150.23298788
"3265",53,"2012","69914",183760.131332833,941567.84963194,2087053.6836282,233826.155074164,648205.166075905,546182.037522123
"3266",53,"2012","71381",333003.557829549,1379379.48484578,2958342.57263195,1367515.99187018,3890082.0760086,1066011.25707271
"3267",53,"2012","71861",250398.042947964,1104944.50252831,2389393.297795,670684.589605573,1900604.24882207,866798.245760159
"3268",53,"2012","72817",456686.854636196,2274971.99608216,5012783.87832332,787723.693616896,2276596.85691448,1812288.32803196
"3269",53,"2012","73311",411093.761057034,1974579.95567594,4374439.46737836,860207.052171061,2389758.40577621,875661.792512964
"3270",53,"2012","741",565104.16488831,3138641.57988147,6862006.70738922,1566455.91682734,4498153.21834521,2290740.28413816
"3271",53,"2012","74173",381415.402294968,1559560.37084338,3347872.71120536,1647754.99396028,4735326.53609584,1385623.16709508
"3272",53,"2012","74325",326220.419527093,1289589.85668606,2728048.17795533,1978530.28471189,5686993.56557717,1343949.38461953
"3273",53,"2012","75414",550953.29118296,2851542.4550125,6273038.24741351,1391189.76706835,3988581.27113713,2196878.28263149
"3274",53,"2012","75587",565334.540940917,2982824.06588676,6511054.10828667,2130950.42543387,6136842.6791425,2082413.41445702
"3275",53,"2012","76110",586173.025778263,3104608.51076399,6706085.74636136,2682238.86279746,7946365.49808083,2594921.97056142
"3276",53,"2012","76419",555534.213680863,2920885.43279826,6307234.5571647,2388223.76122009,7124192.4002879,3100900.20271616
"3277",53,"2012","77081",482796.319147031,2791958.66758149,6177508.45425336,916919.336506058,2579885.28361673,1799468.23464628
"3278",53,"2012","78635",83687.6525692665,413268.705302064,872194.927257162,277549.938497615,742776.345322637,176294.1962605
"3279",53,"2012","79067",425938.70083317,2203947.60685617,4879656.77097541,647972.745577377,1858007.56934828,1656126.95280211
"3280",53,"2012","7944",570393.922506866,3005969.23347927,6508501.4882638,2391258.927513,7082034.84962912,3117445.84945471
"3281",53,"2012","79963",66124.885573923,352083.643581932,750017.635578585,260928.556630805,726860.813988781,233240.52485796
"3282",53,"2012","80345",409545.237700311,1812840.64890121,3971944.26300845,1115887.94691385,3160910.24122763,1313821.30906494
"3283",53,"2012","80697",139777.948541187,690819.83216577,1515818.07558355,364062.419965759,1024576.99198245,518850.29631052
"3284",53,"2012","80960",314075.90205491,1590029.5859369,3580911.57577868,454322.216101294,1277187.33616346,1116611.42497769
"3285",53,"2012","82925",112982.651620181,574457.484612813,1242780.17300999,168493.017925661,480678.746178219,532813.312387195
"3286",53,"2012","84682",705625.50307607,3818655.37123173,8220118.17806868,2461390.01383701,7316411.69818798,3491659.38108392
"3287",53,"2012","84746",523398.817229734,2905221.92650739,6410019.88251035,999217.226300099,2829370.50009177,1906962.44277203
"3288",53,"2012","85945",420601.005738484,2178776.96588716,4817215.18754622,1073841.8674586,3066100.2180191,1722849.72749499
"3289",53,"2012","88719",276373.488925199,1341470.28130671,2962654.28605604,370935.957227339,1045136.08044939,918816.258277471
"3290",53,"2012","88723",336568.565124734,1691106.21135723,3752991.6049159,439395.733401594,1243328.38000988,1134530.62789814
"3291",53,"2012","89834",604424.281383884,3282954.76362309,7170070.3255778,2245302.25686444,6391199.70667476,1744864.84534941
"3292",53,"2012","90462",413569.446233767,2118042.41153781,4710375.16540068,606979.774158578,1692350.47736269,1092844.32574799
"3293",53,"2012","90853",296920.253718278,1328075.43456318,2786188.4540493,2755286.11565073,8183884.24361183,1877284.01141691
"3294",53,"2012","93021",219345.95373456,1085734.07437588,2414492.56138769,353148.611599538,933742.404710724,272993.834963991
"3295",53,"2012","93187",203245.690624101,969970.848431961,2119044.99918398,303818.928367333,869300.418518777,840180.915199231
"3296",53,"2012","93833",196076.927143987,863610.339349327,1850510.04032484,506459.185370957,1452080.4656419,824690.219725321
"3297",53,"2012","9736",568538.006247414,2880072.40259558,6288097.40270462,1768658.05946111,5106235.7654034,2100403.04345411
"3298",53,"2012","97383",238351.798035246,1126239.15742252,2482878.225958,647607.466727737,1823926.45801271,871353.519707587
"3299",53,"2012","98203",519355.923268455,2887230.94238075,6335149.94941893,1122598.06700134,3264449.04595681,2629177.2513337
"3300",53,"2012","99651",194615.670739655,1002920.46024765,2227822.83128505,149096.665423223,414786.447359811,654374.837575463
"3301",53,"2013","10336",59086.728257913,376821.551520956,933082.591239668,115972.728705579,300674.55075745,101198.295698902
"3302",53,"2013","12234",10748.6544587038,66311.8734271796,83643.8220385845,42671.1628972943,116600.005812994,61809.4069655727
"3303",53,"2013","12816",13449.7308845203,83228.0135190327,128711.138426363,47353.4422352531,128228.824161339,61124.6881523311
"3304",53,"2013","12839",32934.8025519179,194724.517579228,426209.858902073,118621.832284765,308688.370997179,73717.897406275
"3305",53,"2013","13978",13725.4140368363,85014.7545354406,133872.54332982,47414.125302166,128351.390858598,61216.5417863244
"3306",53,"2013","1412",11681.4153632093,71513.5779187672,96308.1715661169,45377.4005575719,123820.057575472,62380.016252701
"3307",53,"2013","14418",11187.1079135027,68493.7129797543,89132.176107755,45961.2135037805,125332.903265392,62487.8326340382
"3308",53,"2013","14849",12755.5125782897,77863.1609150767,113211.839500126,46995.1835711088,128439.005199541,69998.821640442
"3309",53,"2013","15046",11137.5413885087,68640.987859954,89292.3060149043,43333.8172192764,118319.407758508,61284.7314185594
"3310",53,"2013","16747",16996.044913455,106932.398600604,194007.629652983,50197.0334656704,135993.89165079,66439.5531653021
"3311",53,"2013","18031",12329.1033118574,76374.6906175917,110429.097842463,44417.1711943548,121151.293009437,62202.5802724402
"3312",53,"2013","18178",12366.2532295617,75896.9921258478,108425.616982372,45461.4999609962,124090.612707662,66067.4802734102
"3313",53,"2013","184",11027.6861492358,67838.3379517254,87083.2467478792,43553.4250207075,118874.057171036,61310.2206142311
"3314",53,"2013","18445",12256.3700507105,74785.7639296665,105914.605587949,47485.7661066632,129340.899669978,65197.8542583028
"3315",53,"2013","18956",20038.9573293729,122357.727712991,233741.213231039,65733.4699800835,174603.525965851,64176.0101224127
