"","day","v1","v2","v3","v4","v5","v6"
"210",2010-07-29,65411,322783,517791,228748,782155,197284
"211",2010-07-30,65415,322806,517829,228765,782212,197299
"212",2010-07-31,65420,322830,517867,228782,782269,197313
"213",2010-08-01,65425,322853,517904,228798,782326,197327
"214",2010-08-02,65430,322877,517942,228815,782383,197342
"215",2010-08-03,65434,322900,517980,228832,782440,197356
"216",2010-08-04,65439,322924,518017,228848,782497,197370
"217",2010-08-05,65444,322947,518055,228865,782554,197385
"218",2010-08-06,65449,322971,518093,228882,782611,197399
"219",2010-08-07,65453,322994,518131,228898,782668,197414
"220",2010-08-08,65458,323018,518168,228915,782725,197428
"221",2010-08-09,65463,323041,518206,228932,782782,197442
"222",2010-08-10,65468,323065,518244,228948,782839,197457
"223",2010-08-11,65472,323088,518281,228965,782896,197471
"224",2010-08-12,65477,323112,518319,228982,782953,197485
"225",2010-08-13,65482,323135,518357,228998,783010,197500
"226",2010-08-14,65487,323159,518395,229015,783067,197514
"227",2010-08-15,65492,323182,518432,229032,783124,197529
"228",2010-08-16,65496,323206,518470,229048,783181,197543
"229",2010-08-17,65501,323229,518508,229065,783238,197557
"230",2010-08-18,65506,323253,518545,229081,783295,197572
"231",2010-08-19,65511,323276,518583,229098,783352,197586
"232",2010-08-20,65515,323300,518621,229115,783409,197600
"233",2010-08-21,65520,323323,518659,229131,783466,197615
"234",2010-08-22,65525,323347,518696,229148,783523,197629
"235",2010-08-23,65530,323370,518734,229165,783580,197644
"236",2010-08-24,65534,323394,518772,229181,783637,197658
"237",2010-08-25,65539,323417,518809,229198,783694,197672
"238",2010-08-26,65544,323441,518847,229215,783750,197687
"239",2010-08-27,65549,323464,518885,229231,783807,197701
"240",2010-08-28,65553,323488,518923,229248,783864,197715
"241",2010-08-29,65558,323511,518960,229265,783921,197730
"242",2010-08-30,65563,323535,518998,229281,783978,197744
"243",2010-08-31,65568,323558,519036,229298,784035,197759
"244",2010-09-01,65573,323582,519073,229315,784092,197773
"245",2010-09-02,65577,323606,519111,229331,784149,197787
"246",2010-09-03,65582,323629,519149,229348,784206,197802
"247",2010-09-04,65587,323653,519187,229365,784263,197816
"248",2010-09-05,65592,323676,519224,229381,784320,197830
"249",2010-09-06,65596,323700,519262,229398,784377,197845
"250",2010-09-07,65601,323723,519300,229415,784434,197859
"251",2010-09-08,65606,323747,519337,229431,784491,197874
"252",2010-09-09,65611,323770,519375,229448,784548,197888
"253",2010-09-10,65615,323794,519413,229465,784605,197902
"254",2010-09-11,65620,323817,519451,229481,784662,197917
"255",2010-09-12,65625,323841,519488,229498,784719,197931
"256",2010-09-13,65630,323864,519526,229515,784776,197945
"257",2010-09-14,65634,323888,519564,229531,784833,197960
"258",2010-09-15,65639,323911,519601,229548,784890,197974
"259",2010-09-16,65644,323935,519639,229565,784947,197989
"260",2010-09-17,65649,323958,519677,229581,785004,198003
"261",2010-09-18,65654,323982,519715,229598,785061,198017
"262",2010-09-19,65658,324005,519752,229615,785118,198032
"263",2010-09-20,65663,324029,519790,229631,785175,198046
"264",2010-09-21,65668,324052,519828,229648,785232,198060
"265",2010-09-22,65673,324076,519865,229665,785289,198075
"266",2010-09-23,65677,324099,519903,229681,785346,198089
"267",2010-09-24,65682,324123,519941,229698,785403,198103
"268",2010-09-25,65687,324146,519979,229715,785460,198118
"269",2010-09-26,65692,324170,520016,229731,785517,198132
"270",2010-09-27,65696,324193,520054,229748,785574,198147
"271",2010-09-28,65701,324217,520092,229765,785631,198161
"272",2010-09-29,65706,324240,520129,229781,785688,198175
"273",2010-09-30,65711,324264,520167,229798,785745,198190
"274",2010-10-01,65715,324287,520205,229815,785801,198204
"275",2010-10-02,65720,324311,520243,229831,785858,198218
"276",2010-10-03,65725,324334,520280,229848,785915,198233
"277",2010-10-04,65730,324358,520318,229865,785972,198247
"278",2010-10-05,65734,324381,520356,229881,786029,198262
"279",2010-10-06,65739,324405,520394,229898,786086,198276
"280",2010-10-07,65744,324428,520431,229915,786143,198290
"281",2010-10-08,65749,324452,520469,229931,786200,198305
"282",2010-10-09,65754,324475,520507,229948,786257,198319
"283",2010-10-10,65758,324499,520544,229965,786314,198333
"284",2010-10-11,65763,324523,520582,229981,786371,198348
"285",2010-10-12,65768,324546,520620,229998,786428,198362
"286",2010-10-13,65773,324570,520658,230015,786485,198377
"287",2010-10-14,65777,324593,520695,230031,786542,198391
"288",2010-10-15,65782,324617,520733,230048,786599,198405
"289",2010-10-16,65787,324640,520771,230065,786656,198420
"290",2010-10-17,65792,324664,520808,230081,786713,198434
"291",2010-10-18,65796,324687,520846,230098,786770,198448
"292",2010-10-19,65801,324711,520884,230115,786827,198463
"293",2010-10-20,65806,324734,520922,230131,786884,198477
"294",2010-10-21,65811,324758,520959,230148,786941,198492
"295",2010-10-22,65815,324781,520997,230165,786998,198506
"296",2010-10-23,65820,324805,521035,230181,787055,198520
"297",2010-10-24,65825,324828,521072,230198,787112,198535
"298",2010-10-25,65830,324852,521110,230215,787169,198549
"299",2010-10-26,65835,324875,521148,230231,787226,198563
"300",2010-10-27,65839,324899,521186,230248,787283,198578
"301",2010-10-28,65844,324922,521223,230265,787340,198592
"302",2010-10-29,65849,324946,521261,230281,787397,198607
"303",2010-10-30,65854,324969,521299,230298,787454,198621
"304",2010-10-31,65858,324993,521336,230315,787511,198635
"305",2010-11-01,65863,325016,521374,230331,787568,198650
"306",2010-11-02,65868,325040,521412,230348,787625,198664
"307",2010-11-03,65873,325063,521450,230365,787682,198678
"308",2010-11-04,65877,325087,521487,230381,787739,198693
"309",2010-11-05,65882,325110,521525,230398,787796,198707
"310",2010-11-06,65887,325134,521563,230415,787853,198722
"311",2010-11-07,65892,325157,521600,230431,787909,198736
"312",2010-11-08,65896,325181,521638,230448,787966,198750
"313",2010-11-09,65901,325204,521676,230465,788023,198765
"314",2010-11-10,65906,325228,521714,230481,788080,198779
"315",2010-11-11,65911,325251,521751,230498,788137,198793
"316",2010-11-12,65916,325275,521789,230515,788194,198808
"317",2010-11-13,65920,325298,521827,230531,788251,198822
"318",2010-11-14,65925,325322,521864,230548,788308,198836
"319",2010-11-15,65930,325345,521902,230565,788365,198851
"320",2010-11-16,65935,325369,521940,230581,788422,198865
"321",2010-11-17,65939,325392,521978,230598,788479,198880
"322",2010-11-18,65944,325416,522015,230614,788536,198894
"323",2010-11-19,65949,325439,522053,230631,788593,198908
"324",2010-11-20,65954,325463,522091,230648,788650,198923
